id,title,category,ownerRole,format,artifactPath,generatedBy,verifyCommand,launchQuestion,blocksActions
"roadmap-doc","Rebrand Audit and Roadmap","Executive Summary","Master Admin","markdown","DETROIT_DYNAMO_REBRAND_AUDIT_AND_ROADMAP.md","manual documentation update","npm run audit:dynamo-goal","Does the handoff explain what was built, what remains external, and how it was verified?","owner closeout; promotion decision"
"goal-audit","Goal Audit Report","Executive Summary","Master Admin","json","artifacts/detroit-dynamo/goal-audit.json","npm run audit:dynamo-goal","npm run audit:dynamo-goal","Do implemented requirements still pass while external gates remain explicit?","goal completion claim; external gate closeout"
"final-acceptance-matrix","Final Acceptance Matrix","Executive Summary","Master Admin","markdown","artifacts/detroit-dynamo/launch/detroit-dynamo-final-acceptance-matrix.md","npm run verify:dynamo-final-acceptance","npm run verify:dynamo-final-acceptance","Does every original acceptance requirement have evidence and explicit remaining external gates?","goal completion claim; root route promotion; owner closeout"
"owner-launch-review","Owner Launch Review Packet","Owner Decision","Master Admin","markdown","artifacts/detroit-dynamo/launch/detroit-dynamo-owner-launch-review.md","npm run verify:dynamo-owner-launch-review","npm run verify:dynamo-owner-launch-review","Has the owner reviewed every go/no-go launch section?","root route promotion; checkout activation; signature capture; public claim publication"
"owner-handoff-packet","Owner Handoff Packet","Owner Decision","Master Admin","markdown","artifacts/detroit-dynamo/launch/detroit-dynamo-owner-handoff-packet.md","npm run verify:dynamo-owner-handoff-packet","npm run verify:dynamo-owner-handoff-packet","Does the owner have one redacted packet tying artifacts, commands, signoffs, evidence, and blocked live actions together?","owner launch decision; owner handoff distribution; goal completion claim; root route promotion"
"external-gate-closure","External Gate Closure Packet","Owner Decision","Master Admin","markdown","artifacts/detroit-dynamo/launch/detroit-dynamo-external-gate-closure.md","npm run verify:dynamo-external-gate-closure","npm run verify:dynamo-external-gate-closure","Does every remaining external gate have a role owner, required evidence, verification command, and blocked live action?","external gate closeout; goal completion claim; root route promotion; checkout activation; signature capture"
"owner-evidence-intake","Owner Evidence Intake Worksheet","Owner Decision","Master Admin","csv","artifacts/detroit-dynamo/launch/detroit-dynamo-owner-evidence-intake.csv","npm run verify:dynamo-owner-evidence-intake","npm run verify:dynamo-owner-evidence-intake","Has every evidence item been given a real location, approver, date, and decision?","owner launch decision; go-live row approval"
"owner-signoff-register","Owner Signoff Register","Owner Decision","Master Admin","markdown","artifacts/detroit-dynamo/launch/detroit-dynamo-owner-signoff-register.md","npm run verify:dynamo-owner-signoff-register","npm run verify:dynamo-owner-signoff-register","Are all owner and external approvals still unsigned until real evidence is attached?","owner launch decision; root route promotion; checkout activation; signature capture; public claim publication; permanent redirects"
"vercel-preview-runbook","Vercel Preview Deployment Runbook","Deployment","Master Admin","markdown","artifacts/detroit-dynamo/launch/detroit-dynamo-vercel-preview-runbook.md","npm run verify:dynamo-vercel-preview","npm run verify:dynamo-vercel-preview","Has a Vercel preview URL, deployment id, route QA, inspect summary, and rollback target been recorded without exposing secrets?","production deployment; root route promotion; permanent redirects; owner launch decision"
"secret-redaction","Secret Redaction Contract","Deployment","Master Admin","markdown","artifacts/detroit-dynamo/launch/detroit-dynamo-secret-redaction.md","npm run verify:dynamo-secret-redaction","npm run verify:dynamo-secret-redaction","Do generated handoffs and source files avoid local secret values and Vercel project identifiers?","owner handoff distribution; production promotion; checkout activation; live admin write activation"
"production-preview-evidence","Production Preview Evidence Matrix","Owner Decision","Registrar","markdown","artifacts/detroit-dynamo/launch/detroit-dynamo-production-preview-evidence.md","npm run verify:dynamo-production-preview-evidence","npm run verify:dynamo-production-preview-evidence","Have production-preview submissions and admin action proofs been attached?","Appwrite intake default; protected admin live writes; public launch announcement"
"live-readiness-board","Live Readiness Board","Owner Decision","Master Admin","markdown","artifacts/detroit-dynamo/launch/detroit-dynamo-live-readiness-board.md","npm run verify:dynamo-live-readiness-board","npm run verify:dynamo-live-readiness-board","Is every launch phase still blocked until real evidence and owner approval exist?","root route promotion; checkout activation; signature capture; noindex removal; permanent redirects"
"deployment-readiness","Deployment Readiness Handoff","Deployment/Cutover","Master Admin","markdown","artifacts/detroit-dynamo/launch/detroit-dynamo-deployment-readiness.md","npm run verify:dynamo-deployment-readiness","npm run verify:dynamo-deployment-readiness","Are deployment ids, preview URLs, env evidence, and rollback targets recorded before promotion?","root route promotion; Appwrite intake default; permanent redirects; noindex removal; post-launch closeout"
"launch-evidence-checklist","Launch Evidence Checklist","Launch Control","Club Director","markdown","artifacts/detroit-dynamo/launch/detroit-dynamo-launch-evidence-checklist.md","npm run verify:dynamo-launch-evidence","npm run verify:dynamo-launch-evidence","Are all required proof items known and assigned?","promotion gate clearance; owner launch approval"
"launch-evidence-actions","Launch Evidence Action Handoff","Launch Control","Club Director","markdown","artifacts/detroit-dynamo/launch/detroit-dynamo-launch-evidence-actions.md","npm run verify:dynamo-launch-evidence-actions","npm run verify:dynamo-launch-evidence-actions","Can operators record preview proof actions without clearing live gates?","live evidence clearance"
"external-confirmation-register","External Confirmation Register","External Proof","Club Director","markdown","artifacts/detroit-dynamo/launch/detroit-dynamo-external-confirmation-register.md","npm run generate:dynamo-launch-assets","npm run verify:dynamo","Which external facts are still unconfirmed?","exact pricing publication; league claim publication; facility publication; sponsor proof publication"
"external-confirmation-actions","External Confirmation Action Handoff","External Proof","Club Director","markdown","artifacts/detroit-dynamo/launch/detroit-dynamo-external-confirmation-actions.md","npm run verify:dynamo-external-confirmation-actions","npm run verify:dynamo-external-confirmation-actions","Can owner signoff requests be rehearsed without publishing facts?","publication approval; checkout activation; signature capture"
"payment-waiver-gates","Payment and Waiver Gate Contract","External Proof","Registrar","markdown","artifacts/detroit-dynamo/launch/detroit-dynamo-payment-waiver-gates.md","npm run verify:dynamo-gate-contracts","npm run verify:dynamo-gate-contracts","Are checkout and waiver workflows still gated until owner/legal approval?","checkout activation; payment collection; signature capture; medical intake"
"claim-safety","Public Claim Safety Contract","External Proof","Media/Admin Staff","markdown","artifacts/detroit-dynamo/launch/detroit-dynamo-claim-safety.md","npm run verify:dynamo-claim-safety","npm run verify:dynamo-claim-safety","Are unconfirmed claims still future-pathway or placeholder language?","league claim publication; staff proof publication; sponsor logo publication"
"safeguarding-privacy","Safeguarding and Privacy Contract","External Proof","Registrar","markdown","artifacts/detroit-dynamo/launch/detroit-dynamo-safeguarding-privacy.md","npm run verify:dynamo-safeguarding","npm run verify:dynamo-safeguarding","Are youth-facing operations still blocked until safeguarding evidence is approved?","youth registration launch; medical intake; youth roster publication; sensitive admin mutations"
"backend-runbook","Backend Activation Runbook","Backend/Admin","Master Admin","markdown","artifacts/detroit-dynamo/launch/detroit-dynamo-backend-activation-runbook.md","npm run generate:dynamo-launch-assets","npm run preflight:dynamo-backend","What must happen before live Appwrite mode is enabled?","Appwrite intake default; protected admin live writes; live lead routing"
"lead-intake-handoff","Lead Intake Function Handoff","Backend/Admin","Media/Admin Staff","markdown","artifacts/detroit-dynamo/launch/detroit-dynamo-lead-intake-handoff.md","npm run verify:dynamo-intake-contract","npm run verify:dynamo-intake-contract","Do public forms map to the expected dd_* records?","default live intake"
"pipeline-action-handoff","Pipeline Action Function Handoff","Backend/Admin","Registrar","markdown","artifacts/detroit-dynamo/launch/detroit-dynamo-pipeline-action-handoff.md","npm run verify:dynamo-pipeline-actions","npm run verify:dynamo-pipeline-actions","Are pipeline transitions scoped and auditable?","live lead status transitions"
"admin-module-read-handoff","Admin Module Read Handoff","Backend/Admin","Master Admin","markdown","artifacts/detroit-dynamo/launch/detroit-dynamo-admin-module-read-handoff.md","npm run verify:dynamo-admin-module-read","npm run verify:dynamo-admin-module-read","Are admin reads role-scoped before live data browsing?","protected admin live reads"
"admin-module-write-handoff","Admin Module Write Handoff","Backend/Admin","Master Admin","markdown","artifacts/detroit-dynamo/launch/detroit-dynamo-admin-module-write-handoff.md","npm run verify:dynamo-admin-module-writes","npm run verify:dynamo-admin-module-writes","Are live admin writes still blocked until external gates and roles are approved?","protected admin live writes; fixture/result publication; payment/waiver/sponsor mutation"
"role-grant-handoff","Admin Role Grant Handoff","Backend/Admin","Master Admin","markdown","artifacts/detroit-dynamo/launch/detroit-dynamo-admin-role-grant-handoff.md","npm run verify:dynamo-admin-role-grants","npm run verify:dynamo-admin-role-grants","Can trusted roles be granted without opening broad admin access?","trusted role grants; protected admin live access"
"record-workspace","Admin Record Workspace Handoff","Backend/Admin","Club Director","markdown","artifacts/detroit-dynamo/launch/detroit-dynamo-admin-record-workspace.md","npm run verify:dynamo-admin-record-workspace","npm run verify:dynamo-admin-record-workspace","Are preview record workspaces ready without mutating live records?","admin CRUD launch; live record migration"
"promotion-cutover","Promotion Cutover Control","SEO/Cutover","Master Admin","markdown","artifacts/detroit-dynamo/launch/detroit-dynamo-promotion-cutover.md","npm run verify:dynamo-promotion-cutover","npm run verify:dynamo-promotion-cutover","What remains blocked before Detroit Dynamo can replace the LC root?","root route promotion; noindex removal; permanent redirects"
"redirect-plan","Redirect Plan Draft","SEO/Cutover","Master Admin","markdown","artifacts/detroit-dynamo/launch/detroit-dynamo-redirect-plan.md","npm run generate:dynamo-launch-assets","BASE_URL=<production-preview-url> npm run verify:dynamo","Which redirects must wait for promotion approval?","permanent redirects; canonical migration"
"sitemap-preview","Sitemap Preview","SEO/Cutover","Media/Admin Staff","xml","artifacts/detroit-dynamo/launch/detroit-dynamo-sitemap-preview.xml","npm run generate:dynamo-launch-assets","BASE_URL=<production-preview-url> npm run verify:dynamo","Which Dynamo routes are sitemap-ready after SEO approval?","sitemap publication; noindex removal"
"browser-qa-report","Browser QA Report","Verification","Master Admin","json","artifacts/detroit-dynamo/browser-qa/browser-qa-report.json","BASE_URL=http://127.0.0.1:5182 npm run qa:dynamo-browser","BASE_URL=<target-url> npm run qa:dynamo-browser","Do desktop/mobile routes, public forms, and protected admin pages render cleanly?","post-cutover closeout; launch announcement"