id,label,phase,ownerRole,liveDecision,promotionGateStatuses,readinessStatuses,externalConfirmationStatuses,evidenceItems,intakeRows,productionPreviewTracks,requiredProof,verificationCommands,artifactReferences,blockedLiveActions,goLiveAllowed
"current-site-rollback","Current LC site and rollback","Preserve existing business","Master Admin","review_ready_not_promoted","Current LC site preservation: passing_in_preview","","","1","1","2","Current LC route smoke output from the production-preview URL; Browser QA screenshots for the current homepage and booking shell; Rollback deployment id or prior production build target","BASE_URL=<production-preview-url> npm run test -- --run; BASE_URL=<production-preview-url> npm run qa:dynamo-browser","artifacts/detroit-dynamo/goal-audit.json; artifacts/detroit-dynamo/browser-qa/browser-qa-report.json; artifacts/detroit-dynamo/launch/detroit-dynamo-promotion-cutover.md","root route promotion; permanent redirects; noindex removal","false"
"backend-appwrite-live","Backend and Appwrite live mode","Activate isolated data backend","Master Admin","blocked_until_backend_evidence","Data backend live: planned","Backend/Data: planned","","2","2","8","Preflight report without secret leakage; Provision/apply transcript for isolated dd_* collections; Function variables and deployment proof for all Detroit Dynamo functions","npm run preflight:dynamo-backend; npm run provision:dynamo-appwrite -- --apply; node scripts/configure-functions.mjs","artifacts/detroit-dynamo/launch/detroit-dynamo-backend-activation-runbook.md; artifacts/detroit-dynamo/launch/detroit-dynamo-production-preview-evidence.md","Appwrite intake default; live lead routing; protected admin live writes","false"
"public-form-production-preview","Public form production-preview submissions","Verify lead intake","Registrar","blocked_until_submission_ids","Data backend live: planned","Backend/Data: planned","","2","2","8","Production-preview submission id for each public lead form variant; Successful validation and storage-error probes; Admin routing confirmation for training, youth, tryout, senior, sponsor, and contact leads","npm run verify:dynamo-intake-contract; BASE_URL=<production-preview-url> npm run qa:dynamo-browser","artifacts/detroit-dynamo/launch/detroit-dynamo-lead-intake-fixtures.json; artifacts/detroit-dynamo/launch/detroit-dynamo-production-preview-evidence.md","default live intake; live lead routing; owner launch approval","false"
"protected-admin-live-operations","Protected admin live operations","Verify role-scoped admin","Master Admin","blocked_until_admin_function_evidence","Data backend live: planned","Backend/Data: planned","Staff, Rosters & Safeguarding: pending_confirmation","3","3","5","Authenticated success and rejection fixture results for pipeline, module-read, role-grant, and module-write functions; Audit event ids for permitted actions; Rejected unauthorized requests without protected record mutation","npm run verify:dynamo-pipeline-actions; npm run verify:dynamo-admin-module-read; npm run verify:dynamo-admin-role-grants; npm run verify:dynamo-admin-module-writes","artifacts/detroit-dynamo/launch/detroit-dynamo-admin-module-read-handoff.md; artifacts/detroit-dynamo/launch/detroit-dynamo-admin-module-write-handoff.md; artifacts/detroit-dynamo/launch/detroit-dynamo-production-preview-evidence.md","protected admin live reads; protected admin live writes; trusted role grants","false"
"payments-packages-provider","Payments, packages, and provider tests","Approve commercial setup","Master Admin","blocked_until_payment_approval","Payments approved: pending_confirmation","Payments/Packages: pending_confirmation","Payments & Packages: pending_confirmation","2","2","1","Owner-approved package matrix with exact prices, taxes, fees, session counts, and refund rules; Provider product ids or invoice workflow ids; Sandbox success, failure, cancel, refund, webhook, and audit evidence","npm run verify:dynamo-gate-contracts; Provider sandbox test plan","artifacts/detroit-dynamo/launch/detroit-dynamo-payment-waiver-gates.md; artifacts/detroit-dynamo/launch/detroit-dynamo-owner-evidence-intake.csv","checkout activation; payment collection; published exact pricing","false"
"waivers-legal-signature","Waivers, legal, and signature workflow","Approve participation controls","Registrar","blocked_until_legal_approval","Waivers approved: pending_confirmation","Waivers/Legal: pending_confirmation","Waivers & Legal: pending_confirmation","2","2","1","Approved waiver/legal version register for youth, adult, medical, media, camp, and travel consent; Guardian and adult signature workflow tests; Retention, expiration, revocation, and roster-eligibility rules","npm run verify:dynamo-gate-contracts; npm run verify:dynamo-safeguarding","artifacts/detroit-dynamo/launch/detroit-dynamo-safeguarding-privacy.md; artifacts/detroit-dynamo/launch/detroit-dynamo-owner-evidence-intake.csv","signature capture; medical intake; roster eligibility clearance","false"
"league-facility-operations-proof","League, facility, and operations proof","Confirm real-world soccer operations","Club Director","blocked_until_fact_confirmation","League and facility facts confirmed: future_pathway","League/Competition: future_pathway; Facilities/Operations: pending_confirmation","League & Competition Facts: future_pathway; Facilities & Operations: pending_confirmation","4","4","3","Official league or owner-approved future-pathway wording for every competition claim; Facility permits, calendars, insurance notes, emergency procedures, and publish approval; Fixture, opponent, venue, roster, staff, and competition proof before publication","npm run verify:dynamo-claim-safety; npm run verify:dynamo-safeguarding","artifacts/detroit-dynamo/launch/detroit-dynamo-claim-safety.md; artifacts/detroit-dynamo/launch/detroit-dynamo-external-confirmation-register.md; artifacts/detroit-dynamo/launch/detroit-dynamo-owner-evidence-intake.csv","league claim publication; facility publication; fixture/result publication","false"
"staff-roster-safeguarding-proof","Staff, rosters, and safeguarding proof","Protect youth and roster data","Club Director","blocked_until_safeguarding_review","League and facility facts confirmed: future_pathway","League/Competition: future_pathway","Staff, Rosters & Safeguarding: pending_confirmation","4","4","3","Approved staff names, roles, bios, photos, licenses, and public contact rules; Background/safeguarding review for youth-facing staff; Guardian/media-release controls before youth roster or player profile publication","npm run verify:dynamo-safeguarding; npm run verify:dynamo-admin-role-grants","artifacts/detroit-dynamo/launch/detroit-dynamo-safeguarding-privacy.md; artifacts/detroit-dynamo/launch/detroit-dynamo-admin-role-grant-handoff.md; artifacts/detroit-dynamo/launch/detroit-dynamo-owner-evidence-intake.csv","staff proof publication; youth roster publication; team-manager sensitive access","false"
"sponsor-media-content-proof","Sponsor, media, and content proof","Approve public proof","Media/Admin Staff","blocked_until_content_permissions","League and facility facts confirmed: future_pathway; SEO and redirect launch approved: preview_only","Content/Brand Promotion: preview_only","Sponsors, Media & Content Proof: preview_only","6","6","1","Sponsor logo permissions, website links, package inventory, and display rules; Testimonial, player story, photo, video, and media-release permissions; Launch content calendar and proof source material","npm run verify:dynamo-claim-safety","artifacts/detroit-dynamo/launch/detroit-dynamo-claim-safety.md; artifacts/detroit-dynamo/launch/detroit-dynamo-external-confirmation-register.md; artifacts/detroit-dynamo/launch/detroit-dynamo-owner-evidence-intake.csv","sponsor logo publication; testimonial publication; player outcome publication","false"
"seo-redirect-root-cutover","SEO, redirects, and root cutover","Promote public brand only after approval","Master Admin","blocked_until_cutover_approval","SEO and redirect launch approved: preview_only","Content/Brand Promotion: preview_only","Sponsors, Media & Content Proof: preview_only","3","3","3","Approved titles, descriptions, favicon, Open Graph asset, robots, sitemap, canonical URLs, and noindex removal; Redirect/exclusion decisions for old LC routes, auth routes, admin routes, booking, and payment callbacks; Post-cutover desktop/mobile route QA plan and rollback instructions","BASE_URL=<production-preview-url> npm run verify:dynamo; BASE_URL=<production-url> npm run qa:dynamo-browser","artifacts/detroit-dynamo/launch/detroit-dynamo-sitemap-preview.xml; artifacts/detroit-dynamo/launch/detroit-dynamo-redirect-plan.md; artifacts/detroit-dynamo/launch/detroit-dynamo-promotion-cutover.md; artifacts/detroit-dynamo/launch/detroit-dynamo-owner-evidence-intake.csv","root metadata replacement; noindex removal; permanent redirects","false"
"post-launch-monitoring-rollback","Post-launch monitoring and rollback","Watch the launch window","Master Admin","blocked_until_monitoring_owner","SEO and redirect launch approved: preview_only","Content/Brand Promotion: preview_only","Sponsors, Media & Content Proof: preview_only","3","3","2","Named monitoring owner for first hour and first week; Rollback trigger list for routes, forms, booking, auth, admin, payments, waivers, analytics, and support; Support inbox, legal/support sender identity, analytics, and search-console watch plan","BASE_URL=<production-url> npm run qa:dynamo-browser; npm run audit:dynamo-goal","artifacts/detroit-dynamo/launch/detroit-dynamo-promotion-cutover.md; artifacts/detroit-dynamo/browser-qa/browser-qa-report.json; artifacts/detroit-dynamo/launch/detroit-dynamo-owner-launch-review.md","post-launch closeout; permanent redirect finalization; launch announcement closeout","false"