id,title,ownerRole,decisionStatus,primaryArtifact,supportingArtifacts,verificationCommands,evidenceRequired,requiresRedactionReview,signoffStatus,blockedLiveActions
"executive-closeout","Executive closeout and final acceptance","Master Admin","preview_complete_external_gates_pending","DETROIT_DYNAMO_REBRAND_AUDIT_AND_ROADMAP.md","artifacts/detroit-dynamo/goal-audit.json; artifacts/detroit-dynamo/launch/detroit-dynamo-final-acceptance-matrix.md; artifacts/detroit-dynamo/launch/detroit-dynamo-launch-artifact-index.md","npm run audit:dynamo-goal; npm run verify:dynamo-final-acceptance; npm run verify:dynamo-launch-artifact-index","Owner reviews the audit, final acceptance rows, external evidence rows, and launch artifact index.; Goal remains active until external/backend/payment/waiver/league/deployment/signoff evidence is attached.","true","not_signed","goal completion claim; owner closeout; root route promotion"
"external-gate-closure","External gate closure rows","Master Admin","external_gate_closure_required","artifacts/detroit-dynamo/launch/detroit-dynamo-external-gate-closure.md","artifacts/detroit-dynamo/launch/detroit-dynamo-owner-evidence-intake.csv; artifacts/detroit-dynamo/launch/detroit-dynamo-owner-signoff-register.md; artifacts/detroit-dynamo/launch/detroit-dynamo-final-acceptance-matrix.md","npm run verify:dynamo-external-gate-closure; npm run verify:dynamo-owner-evidence-intake; npm run verify:dynamo-owner-signoff-register","Every external gate has a role owner, source artifact, required evidence list, verification command, and blocked live action.; No closure row is marked ready to close until real evidence, approver, date, and owner decision are attached.","true","not_signed","external gate closeout; goal completion claim; root route promotion; checkout activation; signature capture"
"owner-decision-and-evidence","Owner decision, evidence intake, and signoff register","Master Admin","owner_review_required","artifacts/detroit-dynamo/launch/detroit-dynamo-owner-launch-review.md","artifacts/detroit-dynamo/launch/detroit-dynamo-owner-evidence-intake.csv; artifacts/detroit-dynamo/launch/detroit-dynamo-owner-signoff-register.md; artifacts/detroit-dynamo/launch/detroit-dynamo-live-readiness-board.md","npm run verify:dynamo-owner-launch-review; npm run verify:dynamo-owner-evidence-intake; npm run verify:dynamo-owner-signoff-register; npm run verify:dynamo-live-readiness-board","Every evidence row has a real proof location, approver, approval date, decision, and owner note.; Every final signoff row remains unsigned until the matching external evidence is approved.","true","not_signed","owner launch decision; live gate clearance; publication approval"
"deployment-vercel-redaction","Deployment, Vercel preview, rollback, and redaction","Master Admin","deployment_evidence_required","artifacts/detroit-dynamo/launch/detroit-dynamo-deployment-readiness.md","artifacts/detroit-dynamo/launch/detroit-dynamo-vercel-preview-runbook.md; artifacts/detroit-dynamo/launch/detroit-dynamo-secret-redaction.md; artifacts/detroit-dynamo/launch/detroit-dynamo-secret-redaction-violations.csv","npm run verify:dynamo-deployment-readiness; npm run verify:dynamo-vercel-preview; npm run verify:dynamo-secret-redaction","Preview deployment URL, deployment id, inspect summary, browser QA proof, and rollback target are recorded without exposing secrets.; Secret redaction scanner reports zero exact secret matches, zero identifier matches, and zero token-pattern leakages.","true","not_signed","production deployment; root route promotion; permanent redirects; owner handoff distribution"
"backend-admin-activation","Backend, Appwrite, roles, and admin activation","Master Admin","backend_activation_required","artifacts/detroit-dynamo/launch/detroit-dynamo-backend-activation-runbook.md","artifacts/detroit-dynamo/launch/detroit-dynamo-admin-module-read-handoff.md; artifacts/detroit-dynamo/launch/detroit-dynamo-admin-module-write-handoff.md; artifacts/detroit-dynamo/launch/detroit-dynamo-admin-role-grant-handoff.md; artifacts/detroit-dynamo/launch/detroit-dynamo-admin-record-workspace.md","npm run preflight:dynamo-backend; npm run verify:dynamo-admin-module-read; npm run verify:dynamo-admin-module-writes; npm run verify:dynamo-admin-role-grants; npm run verify:dynamo-admin-record-workspace","Isolated dd_* collections are provisioned in the target Appwrite project.; Trusted role grants, audit events, protected reads, and gated writes are production-preview tested.","true","not_signed","Appwrite intake default; protected admin live reads; protected admin live writes"
"production-preview-forms","Production-preview public forms and lead workflow","Registrar","production_preview_evidence_required","artifacts/detroit-dynamo/launch/detroit-dynamo-production-preview-evidence.md","artifacts/detroit-dynamo/browser-qa/browser-qa-report.json; artifacts/detroit-dynamo/launch/detroit-dynamo-lead-intake-handoff.md; artifacts/detroit-dynamo/launch/detroit-dynamo-pipeline-action-handoff.md; artifacts/detroit-dynamo/launch/detroit-dynamo-lead-pipeline-operations.md","BASE_URL=<production-preview-url> npm run qa:dynamo-browser; npm run verify:dynamo-intake-contract; npm run verify:dynamo-pipeline-actions","Training, youth, tryout, men, women, sponsor, and contact forms have production-preview submission ids.; Authenticated lead status transitions write audit events and unauthorized actions are rejected.","true","not_signed","default live intake; live lead status transitions; public launch announcement"
"payments-packages","Payments, packages, provider products, and checkout","Master Admin","external_evidence_required","artifacts/detroit-dynamo/launch/detroit-dynamo-payment-waiver-gates.md","artifacts/detroit-dynamo/launch/detroit-dynamo-owner-signoff-register.md; artifacts/detroit-dynamo/launch/detroit-dynamo-launch-evidence-checklist.md","npm run verify:dynamo-gate-contracts; npm run verify:dynamo-owner-signoff-register","Approved package matrix includes prices, taxes, fees, refund rules, and provider product ids.; Sandbox checkout, failure, refund, cancellation, webhook, and audit proof are attached.","true","not_signed","checkout activation; payment collection; package publication"
"waivers-safeguarding","Waivers, legal versions, safeguarding, and privacy","Registrar","external_evidence_required","artifacts/detroit-dynamo/launch/detroit-dynamo-safeguarding-privacy.md","artifacts/detroit-dynamo/launch/detroit-dynamo-payment-waiver-gates.md; artifacts/detroit-dynamo/launch/detroit-dynamo-owner-signoff-register.md","npm run verify:dynamo-safeguarding; npm run verify:dynamo-gate-contracts","Approved youth/adult waiver, medical, media, camp, and travel consent version register is attached.; Guardian/adult signature audit, export, expiration, and revocation proof are production-preview tested.","true","not_signed","signature capture; medical intake; youth registration launch; sensitive admin mutations"
"external-facts-content","League, facility, staff, roster, sponsor, media, and claims","Club Director","external_evidence_required","artifacts/detroit-dynamo/launch/detroit-dynamo-external-confirmation-register.md","artifacts/detroit-dynamo/launch/detroit-dynamo-external-confirmation-actions.md; artifacts/detroit-dynamo/launch/detroit-dynamo-claim-safety.md; artifacts/detroit-dynamo/launch/detroit-dynamo-owner-evidence-intake.csv","npm run verify:dynamo-external-confirmation-actions; npm run verify:dynamo-claim-safety; npm run verify:dynamo-owner-evidence-intake","League/facility status is confirmed or future-pathway wording is owner-approved.; Staff, roster, sponsor logo, testimonial, media-release, and news proof approvals are attached.","true","not_signed","league claim publication; facility publication; staff proof publication; roster publication; sponsor logo publication"
"seo-cutover-postlaunch","SEO, noindex, redirects, root promotion, and post-launch watch","Master Admin","cutover_approval_required","artifacts/detroit-dynamo/launch/detroit-dynamo-promotion-cutover.md","artifacts/detroit-dynamo/launch/detroit-dynamo-redirect-plan.md; artifacts/detroit-dynamo/launch/detroit-dynamo-sitemap-preview.xml; artifacts/detroit-dynamo/launch/detroit-dynamo-deployment-readiness.md; artifacts/detroit-dynamo/launch/detroit-dynamo-live-readiness-board.md","npm run verify:dynamo-promotion-cutover; BASE_URL=<production-preview-url> npm run verify:dynamo; BASE_URL=<production-url> npm run qa:dynamo-browser","Owner-approved noindex removal, sitemap publication, canonical/root switch, redirect plan, and rollback target are attached.; Post-launch smoke, browser QA, support escalation, and rollback owner are prepared before launch announcement.","true","not_signed","root route promotion; noindex removal; permanent redirects; sitemap publication; launch announcement"