id,label,signoffArea,signerRole,status,sourceArtifact,verifyCommand,blockedLiveActions
"current-site-rollback-signoff","Current-site snapshot and rollback approval","Current Site Preservation","Master Admin","not_signed","artifacts/detroit-dynamo/launch/detroit-dynamo-promotion-cutover.md","BASE_URL=<current-production-url> npm run test -- --run","root route promotion; permanent redirects; noindex removal"
"deployment-readiness-signoff","Deployment and environment readiness approval","Deployment Readiness","Master Admin","not_signed","artifacts/detroit-dynamo/launch/detroit-dynamo-deployment-readiness.md","npm run verify:dynamo-deployment-readiness","root route promotion; Appwrite intake default; permanent redirects"
"backend-appwrite-signoff","Appwrite backend activation approval","Backend/Data","Master Admin","not_signed","artifacts/detroit-dynamo/launch/detroit-dynamo-backend-activation-runbook.md","npm run preflight:dynamo-backend","Appwrite intake default; protected admin live reads; protected admin live writes"
"production-preview-forms-signoff","Production-preview public form and admin action approval","Production Preview Proof","Registrar","not_signed","artifacts/detroit-dynamo/launch/detroit-dynamo-production-preview-evidence.md","BASE_URL=<production-preview-url> npm run qa:dynamo-browser","default live intake; status mutation workflow; protected admin live writes"
"payment-package-signoff","Payment packages and provider product approval","Payments & Packages","Master Admin","not_signed","artifacts/detroit-dynamo/launch/detroit-dynamo-payment-waiver-gates.md","npm run verify:dynamo-gate-contracts","checkout activation; payment collection; package publication"
"waiver-legal-signoff","Waiver, legal, medical, and media release approval","Waivers & Legal","Registrar","not_signed","artifacts/detroit-dynamo/launch/detroit-dynamo-safeguarding-privacy.md","npm run verify:dynamo-safeguarding","signature capture; medical intake; youth registration launch"
"league-facility-signoff","League, competition, facility, and operations fact approval","Facilities & Competition","Club Director","not_signed","artifacts/detroit-dynamo/launch/detroit-dynamo-claim-safety.md","npm run verify:dynamo-claim-safety","league claim publication; facility publication; fixture publication"
"staff-roster-safeguarding-signoff","Staff, roster, and safeguarding publication approval","Staff, Rosters & Safeguarding","Club Director","not_signed","artifacts/detroit-dynamo/launch/detroit-dynamo-safeguarding-privacy.md","npm run verify:dynamo-safeguarding","staff proof publication; roster publication; sensitive admin mutations"
"sponsor-media-content-signoff","Sponsor, media, testimonials, and news proof approval","Sponsors, Media & Content Proof","Media/Admin Staff","not_signed","artifacts/detroit-dynamo/launch/detroit-dynamo-external-confirmation-register.md","npm run verify:dynamo-external-confirmation-actions","sponsor logo publication; testimonial publication; news proof publication"
"seo-root-redirect-signoff","SEO, noindex, root promotion, and redirect approval","SEO & Cutover","Master Admin","not_signed","artifacts/detroit-dynamo/launch/detroit-dynamo-promotion-cutover.md","BASE_URL=<production-preview-url> npm run verify:dynamo","root route promotion; noindex removal; permanent redirects"
"post-launch-watch-signoff","Post-launch monitoring and rollback owner approval","Post-launch Monitoring","Master Admin","not_signed","artifacts/detroit-dynamo/launch/detroit-dynamo-deployment-readiness.md","BASE_URL=<production-url> npm run qa:dynamo-browser","post-launch closeout; launch announcement; rollback window closure"