id,label,ownerRole,phase,status,commands,requiredEvidence,blockedLiveActions,rollbackNote
"cli-upgrade-and-auth-context","Upgrade and record Vercel CLI context","Master Admin","CLI","evidence_required","vercel --version; npm i -g vercel@latest; pnpm add -g vercel@latest","Vercel CLI version recorded after upgrade; Authenticated Vercel user/team confirmed without exposing tokens; Deployment operator confirms the latest CLI is available before preview deployment work","production deployment; root route promotion","Use the prior production deployment as the rollback target if preview deployment checks fail."
"repo-link-redaction-check","Confirm linked project without exposing ids","Master Admin","Project Link","preview_ready","test -f .vercel/repo.json || test -f .vercel/project.json",".vercel link file exists locally; Project directory is the repo root; Org and project identifiers are redacted from public handoff docs","production deployment","Pause deployment if the link points at the wrong team or project."
"preview-env-pull","Pull preview environment safely","Master Admin","Environment","evidence_required","vercel pull --yes --environment=preview","Preview environment pull completed without printing secrets; Client Appwrite endpoint and project id are present for preview only; Server-side secrets remain in Vercel/Appwrite environments and are not committed","Appwrite intake default; protected admin live writes","Revert to local preview intake if preview env values are missing or wrong."
"local-verification-before-deploy","Run local verification before deployment","Master Admin","Verification","preview_ready","npm run lint; npm run typecheck; npm run build; npm run audit:dynamo-goal","Lint, typecheck, and build pass locally; Goal audit remains 7/8 with external gates visible; Build warning, if any, is documented before deployment","preview deployment; production deployment","Do not deploy a build that fails local verification."
"vercel-prebuilt-build","Create Vercel prebuilt output","Master Admin","Build","evidence_required","vercel build","Vercel build output created from the linked project; SPA rewrite continues to send routes to /index.html; No production redirects or root promotion rules are introduced","preview deployment; production deployment","Delete failed prebuilt output and rerun local verification before rebuilding."
"deploy-prebuilt-preview","Deploy prebuilt preview","Master Admin","Preview Deployment","evidence_required","vercel deploy --prebuilt","Preview deployment URL recorded; Preview deployment id recorded in owner evidence intake; Deployment protection remains enabled unless owner explicitly approves an alternate QA access path","production deployment; root route promotion; noindex removal","Abandon the preview deployment if route QA, form QA, or admin guards fail."
"inspect-preview-deployment","Inspect preview deployment and logs","Master Admin","Preview Deployment","evidence_required","vercel inspect <preview-url>; vercel logs <preview-url>","Deployment inspect output confirms the expected project and build; Logs show no unexpected build/runtime errors during smoke testing; Inspection output is summarized without exposing secrets","production deployment; owner launch decision","Do not promote a preview deployment with unresolved deployment or runtime errors."
"preview-route-and-form-qa","Run preview route, link, form, and console QA","Registrar","Preview QA","evidence_required","BASE_URL=<preview-url> npm run verify:dynamo; BASE_URL=<preview-url> npm run qa:dynamo-browser","Full verifier passes against the preview URL; Browser QA submits all seven public lead forms against the preview URL; No console, mobile overflow, broken link, route, or protected-admin guard failures are recorded","Appwrite intake default; public launch announcement; owner launch decision","Keep the preview isolated and fix issues before owner review if QA fails."
"current-production-snapshot-before-promotion","Record current production snapshot before any promotion","Master Admin","Current Site Preservation","evidence_required","BASE_URL=<current-production-url> npm run test -- --run; BASE_URL=<current-production-url> npm run qa:dynamo-browser","Current LC Training root, booking, auth, LCFC, team, blog, legal, and admin route snapshot recorded; Rollback deployment id or previous production target recorded; Current-site screenshots/report saved before any root-route change","root route promotion; permanent redirects; noindex removal","Restore the recorded LC deployment or routing target if promotion fails."
"promotion-command-hold","Hold production promotion until owner signoff","Master Admin","Promotion Hold","blocked_until_owner_signoff","vercel promote <preview-url>; vercel rollback <deployment-url-or-id>","Owner signoff register has every row signed with evidence attached; Live readiness board reports go-live rows and live gates only after external evidence is approved; Rollback owner and rollback deployment target are recorded before promotion","production promotion; permanent redirects; checkout activation; signature capture; public claim publication","Rollback must be ready before any promote command is allowed."